tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
mOTU	5	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
mOTU	6	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
mOTU	7	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
mOTU	1	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
mOTU	0	na	0.10283481429700107	0.969791747827403	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
mOTU	9	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
Weight+GCN	9	0.00028259213600000035	0.00030469313873176195	0.7493185308999104	0.0008426261750000011	0.6262626262626263	0.44285714285714284	0.5188284518828452	62.0	78.0	37.0	140.0	0.3502824858757062	0.003451309950581943	0.0006984135344943817	0.6253947166616681
Weight+GCN	8	0.0003365578300000003	8.617561192385731e-05	0.5431898897957534	0.0007738814970000009	0.6060606060606061	0.5042016806722689	0.5504587155963303	60.0	59.0	39.0	119.0	0.379746835443038	0.004021929207576009	0.0008415621009528389	0.5522531199709374
Weight+GCN	7	0.0003358860590000001	5.639423645742868e-05	0.37918999757970323	0.0007647006100000004	0.5858585858585859	0.5686274509803921	0.5771144278606966	58.0	44.0	41.0	102.0	0.40559440559440557	0.00399348557950253	0.0008634614171205665	0.5459632320451521
Weight+GCN	6	0.0003379013800000001	4.1499949846619134e-05	0.30053299561203634	0.0007474584590000003	0.5757575757575758	0.6627906976744186	0.6162162162162163	57.0	29.0	42.0	86.0	0.4453125	0.003989189355404679	0.000895572143366534	0.5328863356955754
Weight+GCN	5	0.00034394732700000004	4.253195187219052e-05	0.30430653984452855	0.0007472345340000007	0.5454545454545454	0.5934065934065934	0.5684210526315788	54.0	37.0	45.0	91.0	0.39705882352941174	0.004060676456371351	0.0009002001615224065	0.5304403127773369
Weight+GCN	4	0.0002608715020000005	0.0004217830751375717	0.7402915577653992	0.0008661382010000007	0.5757575757575758	0.4351145038167939	0.49565217391304345	57.0	74.0	42.0	131.0	0.32947976878612717	0.003206006589225459	0.0006576157592571723	0.6533783821516981
Weight+GCN	3	0.00033610998500000026	3.5724117039142984e-05	0.24054539085873328	0.0007398450440000001	0.5959595959595959	0.7468354430379747	0.6629213483146067	59.0	20.0	40.0	79.0	0.4957983193277311	0.003952720095896395	0.0009046269069591163	0.5281329961850377
Weight+GCN	2	0.0001650320169999999	0.0007893941893267627	0.6689402064136016	0.0009534685740000008	0.5454545454545454	0.4251968503937008	0.4778761061946903	54.0	73.0	45.0	127.0	0.313953488372093	0.002126212458584786	0.00043892038450133076	0.775309539098651
Weight+GCN	0	0.00043270779700000197	4.5735205976001183e-05	2.1664688482246826	0.0008251400700000021	0.7171717171717171	0.24315068493150685	0.3631713554987212	71.0	221.0	28.0	292.0	0.221875	0.005376858225133191	0.000947171290568342	0.5871869120348024
Weight+GCN	1	0.0002924447980000004	0.00020830264501652373	0.6869866077507853	0.0008251600970000005	0.5555555555555556	0.4824561403508772	0.5164319248826291	55.0	59.0	44.0	114.0	0.34810126582278483	0.003530016466434758	0.0007453269758220084	0.6079854788068586
